Region,2020 w1,2020 w2,2020 w3,2020 w4,2020 w5,2020 w6,2020 w7,2020 w8,2020 w9,2020 w10,2020 w11,2020 w12,2020 w13,2020 w14,2020 w15,2020 w16,2020 w17,2020 w18,2020 w19,2020 w20,2020 w21,2020 w22,2020 w23,2020 w24,2020 w25,2020 w26,2020 w27,2020 w28,2020 w29,2020 w30,2020 w31,2020 w32,2020 w33,2020 w34,2020 w35,2020 w36,2020 w37,2020 w38,2020 w39,2020 w40,2020 w41,2020 w42,2020 w43,2020 w44,2020 w45,2020 w46,2020 w47,2020 w48,2020 w49,2020 w50,2020 w51,2020 w52,2020 w53,2021 w1,2021 w2,2021 w3,2021 w4,2021 w5,2021 w6,2021 w7,2021 w8,2021 w9,2021 w10,2021 w11,2021 w12,2021 w13,2021 w14,2021 w15,2021 w16,2021 w17,2021 w18,2021 w19,2021 w20,2021 w21,2021 w22,2021 w23,2021 w24,2021 w25,2021 w26,2021 w27,2021 w28,2021 w29,2021 w30,2021 w31,2021 w32,2021 w33,2021 w34,2021 w35,2021 w36,2021 w37,2021 w38,2021 w39,2021 w40,2021 w41,2021 w42,2021 w43,2021 w44,2021 w45,2021 w46,2021 w47,2021 w48,2021 w49,2021 w50,2021 w51,2021 w52,2021 w53,2022 w1,2022 w2,2022 w3,2022 w4,2022 w5,2022 w6,2022 w7,2022 w8,2022 w9,2022 w10,2022 w11,2022 w12,2022 w13,2022 w14,2022 w15,2022 w16,2022 w17,2022 w18,2022 w19,2022 w20,2022 w21,2022 w22,2022 w23,2022 w24,2022 w25,2022 w26,2022 w27,2022 w28,2022 w29,2022 w30,2022 w31,2022 w32,2022 w33,2022 w34,2022 w35,2022 w36,2022 w37,2022 w38,2022 w39,2022 w40,2022 w41,2022 w42,2022 w43,2022 w44,2022 w45,2022 w46,2022 w47,2022 w48,2022 w49,2022 w50,2022 w51,2022 w52,2022 w53,2023 w1,2023 w2,2023 w3,2023 w4,2023 w5,2023 w6,2023 w7,2023 w8,2023 w9,2023 w10,2023 w11,2023 w12,2023 w13,2023 w14,2023 w15,2023 w16,2023 w17,2023 w18,2023 w19,2023 w20,2023 w21,2023 w22,2023 w23,2023 w24,2023 w25,2023 w26,2023 w27,2023 w28,2023 w29,2023 w30,2023 w31,2023 w32,2023 w33,2023 w34,2023 w35,2023 w36,2023 w37,2023 w38,2023 w39,2023 w40,2023 w41,2023 w42,2023 w43,2023 w44,2023 w45,2023 w46,2023 w47,2023 w48,2023 w49,2023 w50,2023 w51,2023 w52
Blekinge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,0.6,1.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.3,0.0,0.6,1.3,3.1,1.3,1.3,1.9,0.6,1.9,0.6,0.6,0.6,1.3,1.3,0.0,0.0,1.3,0.0,1.3,0.6,0.6,1.3,1.9,1.9,1.3,1.3,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.6,0.0,1.3,0.0,0.0,NaN,1.3,1.3,0.0,1.3,0.0,1.9,1.9,1.3,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.6,1.3,0.0,..,1.3,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalarna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.5,3.1,3.5,2.1,2.4,1.7,1.4,1.0,0.3,1.0,1.0,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.7,1.0,1.0,0.0,0.3,0.7,0.7,0.7,0.3,1.7,0.7,0.3,0.7,0.7,0.3,0.7,0.0,1.0,0.7,2.8,4.5,3.1,2.4,4.2,1.0,4.9,2.4,0.7,1.0,0.7,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.7,0.7,NaN,0.3,1.0,1.7,0.3,0.7,1.0,0.7,2.1,1.4,1.4,0.0,0.7,0.3,1.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.3,0.7,0.7,1.4,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.0,1.4,1.4,..,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.7,0.3,0.0,0.0,0.0
Gotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,1.7,1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,5.0,6.7,0.0,1.7,3.4,1.7,1.7,3.3,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,1.7,1.7,0.0,0.0,1.7,0.0,3.3,0.0,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,1.7,0.0,0.0,0.0,0.0,NaN,0.0,0.0,1.6,0.0,1.6,1.6,1.6,3.3,1.6,0.0,1.6,0.0,0.0,1.6,1.6,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,1.6,1.6,..,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0
Gävleborg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,3.5,1.7,1.4,2.1,1.7,1.0,0.7,1.4,1.0,3.5,1.7,1.0,0.3,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,2.8,2.1,3.1,3.8,2.8,3.1,2.1,0.7,1.0,0.3,0.7,2.1,0.7,3.1,2.1,2.4,1.4,1.4,2.8,3.5,4.9,2.4,1.7,1.0,1.4,0.7,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.7,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.3,0.0,1.0,1.4,NaN,1.0,0.7,0.3,2.4,3.5,1.4,0.3,1.7,1.4,0.3,0.0,1.4,0.0,0.3,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.7,0.3,0.3,0.0,0.0,0.0,1.0,0.0,0.7,1.4,0.0,0.7,0.3,1.4,0.3,0.7,0.3,1.0,1.0,1.0,0.7,0.7,1.7,0.3,..,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,1.4,0.7,0.3,0.3,0.0,0.0,0.3
Halland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.1,0.6,1.2,0.6,0.3,1.2,0.6,0.6,0.3,0.9,0.6,0.3,0.3,0.6,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.3,0.3,0.3,0.9,0.6,1.2,0.3,0.6,1.8,1.8,3.3,0.9,1.2,1.2,1.2,1.2,1.2,1.8,1.2,2.4,0.9,2.1,1.8,1.5,2.4,1.5,0.9,1.2,1.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.9,0.0,0.6,NaN,0.3,0.6,0.9,0.6,0.9,0.9,1.5,0.3,0.3,0.9,0.0,0.0,0.0,0.9,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.3,0.3,0.6,0.3,0.3,..,0.6,1.2,0.6,0.3,0.0,0.6,0.3,0.6,0.0,0.0,0.0,0.3,0.9,0.0,0.0,0.0,0.3,0.3,0.0,0.6,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.3,0.6,0.6,0.3,0.0
Jämtland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,1.5,0.8,0.8,0.8,3.1,0.0,2.3,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.8,0.0,0.0,1.5,3.8,1.5,0.8,0.8,2.3,3.1,0.8,0.8,1.5,0.0,0.0,1.5,0.0,0.0,0.8,0.0,0.8,0.8,0.0,0.0,3.0,3.0,3.8,0.8,0.8,0.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,1.5,1.5,2.3,NaN,0.0,1.5,2.3,3.8,0.0,0.0,0.0,0.0,1.5,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,0.0,1.5,0.0,0.0,0.8,1.5,0.0,0.8,0.8,0.8
Jönköping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.5,3.3,2.8,1.7,2.5,1.4,1.1,1.1,1.7,1.9,1.4,0.8,1.4,1.4,0.6,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,1.1,1.1,1.4,1.9,1.1,2.8,3.0,1.9,2.2,3.3,2.2,3.0,3.0,2.5,1.1,0.8,2.2,2.7,2.2,1.9,2.5,1.9,2.5,2.2,2.7,2.5,2.2,1.9,0.8,1.4,0.8,0.0,0.0,0.5,0.3,0.3,0.0,0.0,0.5,0.3,0.3,0.3,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.3,0.5,0.3,1.6,0.3,1.1,1.4,NaN,1.9,1.1,0.5,0.5,1.6,1.4,0.5,0.8,0.0,0.3,0.5,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.3,0.3,0.5,0.5,0.3,0.0,0.3,0.3,0.0,0.0,0.5,0.0,0.0,0.3,0.3,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.3,..,0.8,0.8,0.3,0.3,0.3,0.8,0.0,0.0,0.0,0.0,0.3,0.5,0.3,0.5,0.0,0.3,0.3,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.5,0.3,0.3,0.3,0.0,0.3,0.3,0.8,0.3,0.3,0.5,0.3,0.5,0.3,0.8
Kalmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,1.2,2.0,1.6,0.8,1.2,0.4,0.0,0.0,1.2,0.4,0.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,1.6,0.8,0.8,0.8,1.2,2.8,1.2,0.4,0.4,0.4,0.8,0.0,1.2,1.2,0.4,0.8,0.8,2.8,1.6,2.4,2.4,1.2,0.8,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.2,0.4,0.8,0.8,NaN,0.0,1.2,0.0,0.8,1.2,0.0,1.6,0.4,0.0,0.4,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.4,1.2,0.0,0.4,0.0,0.4,0.0,0.0,0.4,..,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,0.0,0.4,0.8,0.0,0.8,0.0,0.4,0.4
Kronoberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,1.5,0.5,2.5,0.5,1.5,1.0,2.5,2.5,3.0,3.0,2.0,1.0,1.5,1.5,2.0,1.0,2.0,2.5,0.5,0.5,0.0,2.0,3.0,1.0,1.0,1.5,1.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,1.5,NaN,0.0,1.0,1.5,0.0,2.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.5,0.0,1.5,..,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.5
Norrbotten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,2.0,2.0,2.0,2.0,1.2,1.2,0.8,0.4,0.0,1.2,1.2,2.0,1.2,0.8,0.0,0.4,0.4,1.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,1.2,0.4,0.4,1.6,0.8,2.8,2.4,1.2,0.4,0.4,1.6,1.2,2.0,0.8,0.0,1.6,1.6,2.4,2.0,0.8,3.2,1.2,2.8,2.0,1.6,4.4,2.8,2.8,2.4,1.6,1.2,3.6,1.6,1.6,0.4,0.0,0.4,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.4,0.0,1.2,0.0,0.4,0.0,0.4,0.8,0.0,0.4,0.0,0.0,0.8,0.4,0.8,NaN,0.0,1.2,1.2,1.2,1.2,0.4,1.6,1.2,0.8,0.8,2.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.8,0.0,0.4,1.2,0.4,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.4,0.8,0.8,0.8,0.0,1.6,..,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.8,0.4,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.8,0.0,1.6,0.8,0.4,0.4,0.4,1.2,0.0,0.4
